timestamp,cpu_usage_latest,memory_usage_gb_latest,disk_read_bytes,disk_write_bytes,network_rx_bytes,network_tx_bytes
09:46:08,0,0.001979827880859375,0,0,0,90
09:46:09,97,0.0080108642578125,0,4096,642,446
09:46:10,97,0.0080108642578125,0,4096,642,446
09:46:11,0,0.0080108642578125,0,4096,878,696
09:46:12,0,0.0080108642578125,0,4096,878,696
09:46:13,0,0.0080108642578125,0,4096,878,696
09:46:14,0,0.0080108642578125,0,4096,878,696
09:46:15,0,0.0080108642578125,0,16384,948,766
09:46:16,0,0.0080108642578125,0,16384,948,766
09:46:17,0,0.0080108642578125,0,16384,948,766
09:46:18,0,0.0080108642578125,0,16384,948,766
09:46:19,0,0.0080108642578125,0,16384,948,766
09:46:20,0,0.0080108642578125,0,16384,948,766
09:46:21,0,0.0080108642578125,0,16384,948,766
09:46:22,0,0.0080108642578125,0,16384,948,766
09:46:23,0,0.0080108642578125,0,16384,1018,836
09:46:24,0,0.0080108642578125,0,16384,1018,836
09:46:25,0,0.0080108642578125,0,16384,1018,836
09:46:26,0,0.0080108642578125,0,16384,1018,836
09:46:27,0,0.0080108642578125,0,16384,1018,836
09:46:28,0,0.0080108642578125,0,16384,1018,836
09:46:29,0,0.0080108642578125,0,16384,1018,836
09:46:30,0,0.0080108642578125,0,16384,1018,836
09:46:31,0,0.0080108642578125,0,16384,1018,836
09:46:32,0,0.0080108642578125,0,16384,1018,836
09:46:33,0,0.0080108642578125,0,16384,1018,836
09:46:34,0,0.0080108642578125,0,16384,1018,836
09:46:35,0,0.0080108642578125,0,16384,1104,836
09:46:36,0,0.0080108642578125,0,16384,1104,836
09:46:37,0,0.0080108642578125,0,16384,1104,836
09:46:38,0,0.0080108642578125,0,16384,1104,906
09:46:39,0,0.0080108642578125,0,16384,1104,906
09:46:40,0,0.0080108642578125,0,16384,1104,906
09:46:41,0,0.0080108642578125,0,16384,1104,906
09:46:42,0,0.0080108642578125,0,16384,1174,906
09:46:43,0,0.0080108642578125,0,16384,1174,906
09:46:44,0,0.0080108642578125,0,16384,1174,906
09:46:45,0,0.0080108642578125,0,16384,1174,906
09:46:46,0,0.0080108642578125,0,16384,1174,906
09:46:47,0,0.0080108642578125,0,16384,1174,906
09:46:48,0,0.0080108642578125,0,16384,1174,906
09:46:49,0,0.0080108642578125,0,16384,1174,906
09:46:50,0,0.0080108642578125,0,16384,1174,906
09:46:51,0,0.0080108642578125,0,16384,1174,906
09:46:52,0,0.0080108642578125,0,16384,1174,906
09:46:53,0,0.0080108642578125,0,16384,1174,906
09:46:54,0,0.0080108642578125,0,16384,1174,906
09:46:55,0,0.0080108642578125,0,16384,1174,906
09:46:56,0,0.0080108642578125,0,16384,1174,906
09:46:57,0,0.0080108642578125,0,16384,1174,906
09:46:58,0,0.0080108642578125,0,16384,1174,906
09:46:59,0,0.0080108642578125,0,16384,1174,906
09:47:00,0,0.0080108642578125,0,16384,1174,906
09:47:01,0,0.0080108642578125,0,16384,1174,906
09:47:02,0,0.0080108642578125,0,16384,1174,906
09:47:03,0,0.0080108642578125,0,16384,1260,906
09:47:04,0,0.0080108642578125,0,16384,1260,906
09:47:05,0,0.0080108642578125,0,16384,1260,906
09:47:07,0,0.0080108642578125,0,16384,1260,906
09:47:08,0,0.0080108642578125,0,16384,1260,906
